CAESARI AVGVSTO,caesari avgvsto
CAESAR AVGVSTVS DIVI F PATER PATRIAE,caesar avgvstvs divi filivs pater patriae
CAESAR AVGVST PONT MAX TRIBVNIC POT,caesar avgvstvs pontifex maximvs tribvnicia potestate
IMP XII,imperator ⅩⅡ
SIGNIS RECEPTIS,signis receptis
P CARISIVS LEG AVGVSTI,pvblivus carisivs legatvs avgvsti
IMP X,imperator Ⅹ
P CARISIVS LEG PRO PR,pvblivus carisivs legatvs pro praetore
CAESAR AVGVSTVS TRIBVNIC POTEST,caesar avgvstvs tribvnicia potestate
IIIVIR A A A F F,trivmvir avro argento aere flando ferivndo
S P Q R  CAESARI AVGVSTO,senatvs popvlvs+qve romanvs caesari avgvsto
AVGVST,avgvstvs
L AQVILLIVS FLORVS IIIVIR,lvcivs aqvillivs florvs trivmvir
TI CAESAR AVGVST F IMPERAT V,tiberivs caesar avgvsti filivs imperator Ⅴ
CAESAR,caesar
C L CAESARES AVGVSTI F COS DESIG PRINC IVVENT,caivs lvcivs caesares avgvsti filii consvles designati principes ivventvtis
CAESAR AVGVSTVS SIGN RECE,caesar avgvstvs signis receptis
AVGVSTVS CAESAR,avgvstvs caesar
P PETRON TVRPILIAN IIIVIR,pvblivs petronivs tvrpilianvs trivmvir
S P Q R  IMP CAESARI AVG COS XI TR POT VI,senatvs popvlvs+qve romanvs imperatori caesari avgvsto consuli ⅩⅠ tribvnicia potestate Ⅵ
CN PISO CN F IIIVIR A A A F F,cnaevs piso cnaei filivs trivmvir avro argento aere flando ferivndo
TI CAESAR AVG F TR POT XV,tiberivs caesar avgvsti filivs tribvnicia potestate ⅩⅤ
S P Q R  IMP CAESARI,senatvs popvlvs+qve romanvs imperatori caesari
TVRPILIANVS IIIVIR,tvrpilianvs trivmvir
DIVVS IVLIVS,divvs ivlivs
M DVRMIVS IIIVIR,marcvs dvrmivs trivmvir
IMP DIVI F,imperator divi filivs
ARMENIA CAPTA,armenia capta
